color,name,japanese,english
0xc0362c,International orange (Golden Gate Bridge),,international orange (golden gate bridge)
0x5a4fcf,Iris,,iris
0xb3446c,Irresistible,,irresistible
0xf4f0ec,Isabelline,,isabelline
0xb2ffff,Italian sky blue,,italian sky blue
0xfffff0,Ivory,,ivory
0x00a86b,Jade,,jade
0x9d2933,Japanese carmine,,japanese carmine
0x5b3256,Japanese violet,,japanese violet
0xf8de7e,Jasmine,,jasmine
0xa50b5e,Jazzberry jam,,jazzberry jam
0x343434,Jet,,jet
0xf4ca16,Jonquil,,jonquil
0xbdda57,June bud,,june bud
0x29ab87,Jungle green,,jungle green
0x4cbb17,Kelly green,,kelly green
0x3ab09e,Keppel,,keppel
0xe8f48c,Key lime,,key lime
0xc3b091,Khaki (web),,khaki (web)
0xf0e68c,Khaki (X11) (Light khaki),,khaki (x11) (light khaki)
0x882d17,Kobe,,kobe
0xe79fc4,Kobi,,kobi
0x6b4423,Kobicha,,kobicha
0x354230,Kombu green,,kombu green
0x512888,KSU purple,,ksu purple
0xd6cadd,Languid lavender,,languid lavender
0x26619c,Lapis lazuli,,lapis lazuli
0xffff66,Laser lemon,,laser lemon
0xa9ba9d,Laurel green,,laurel green
0xcf1020,Lava,,lava
0xb57edc,Lavender (floral),,lavender (floral)
0xe6e6fa,Lavender (web),,lavender (web)
0xccccff,Lavender blue,,lavender blue
0xfff0f5,Lavender blush,,lavender blush
0xc4c3d0,Lavender gray,,lavender gray
0x7cfc00,Lawn green,,lawn green
0xfff700,Lemon,,lemon
0xfffacd,Lemon chiffon,,lemon chiffon
0xcca01d,Lemon curry,,lemon curry
0xfdff00,Lemon glacier,,lemon glacier
0xf6eabe,Lemon meringue,,lemon meringue
0xfff44f,Lemon yellow,,lemon yellow
0xffff9f,Lemon yellow (Crayola),,lemon yellow (crayola)
0x545aa7,Liberty,,liberty
0xadd8e6,Light blue,,light blue
0xf08080,Light coral,,light coral
0x93ccea,Light cornflower blue,,light cornflower blue
0xe0ffff,Light cyan,,light cyan
0xc8ad7f,Light French beige,,light french beige
0xfafad2,Light goldenrod yellow,,light goldenrod yellow
0xd3d3d3,Light gray,,light gray
0x90ee90,Light green,,light green
0xfed8b1,Light orange,,light orange
0xc5cbe1,Light periwinkle,,light periwinkle
0xffb6c1,Light pink,,light pink
0xffa07a,Light salmon,,light salmon
0x20b2aa,Light sea green,,light sea green
0x87cefa,Light sky blue,,light sky blue
0x778899,Light slate gray,,light slate gray
0xb0c4de,Light steel blue,,light steel blue
0xffffe0,Light yellow,,light yellow
0xc8a2c8,Lilac,,lilac
0xae98aa,Lilac Luster,,lilac luster
0xbfff00,Lime (color wheel),,lime (color wheel)
0x00ff00,Lime (web) (X11 green),,lime (web) (x11 green)
0x32cd32,Lime green,,lime green
0x195905,Lincoln green,,lincoln green
0xfaf0e6,Linen,,linen
0xc19a6b,Lion,,lion
0xde6fa1,Liseran purple,,liseran purple
0x6ca0dc,Little boy blue,,little boy blue
0x674c47,Liver,,liver
0xb86d29,Liver (dogs),,liver (dogs)
0x6c2e1f,Liver (organ),,liver (organ)
0x987456,Liver chestnut,,liver chestnut
0x6699cc,Livid,,livid
0xffbd88,Macaroni and Cheese,,macaroni and cheese
0xcc3336,Madder Lake,,madder lake
0xff00ff,Magenta,,magenta
0xf653a6,Magenta (Crayola),,magenta (crayola)
0xca1f7b,Magenta (dye),,magenta (dye)
0xd0417e,Magenta (Pantone),,magenta (pantone)
0xff0090,Magenta (process),,magenta (process)
0x9f4576,Magenta haze,,magenta haze
0xaaf0d1,Magic mint,,magic mint
0xf2e8d7,Magnolia,,magnolia
0xc04000,Mahogany,,mahogany
0xfbec5d,Maize,,maize
0xf2c649,Maize (Crayola),,maize (crayola)
0x6050dc,Majorelle blue,,majorelle blue
0x0bda51,Malachite,,malachite
0x979aaa,Manatee,,manatee
0xf37a48,Mandarin,,mandarin
0xfdbe02,Mango,,mango
0xff8243,Mango Tango,,mango tango
0x74c365,Mantis,,mantis
0x880085,Mardi Gras,,mardi gras
0xeaa221,Marigold,,marigold
0xc32148,Maroon (Crayola),,maroon (crayola)
0x800000,Maroon (web),,maroon (web)
0xb03060,Maroon (X11),,maroon (x11)
0xe0b0ff,Mauve,,mauve
0x915f6d,Mauve taupe,,mauve taupe
0xef98aa,Mauvelous,,mauvelous
0x47abcc,Maximum blue,,maximum blue
0x30bfbf,Maximum blue green,,maximum blue green
0xacace6,Maximum blue purple,,maximum blue purple
0x5e8c31,Maximum green,,maximum green
0xd9e650,Maximum green yellow,,maximum green yellow
0x733380,Maximum purple,,maximum purple
0xd92121,Maximum red,,maximum red
0xa63a79,Maximum red purple,,maximum red purple
0xfafa37,Maximum yellow,,maximum yellow
0xf2ba49,Maximum yellow red,,maximum yellow red
0x4c9141,May green,,may green
0x73c2fb,Maya blue,,maya blue
0x66ddaa,Medium aquamarine,,medium aquamarine
0x0000cd,Medium blue,,medium blue
0xe2062c,Medium candy apple red,,medium candy apple red
0xaf4035,Medium carmine,,medium carmine
0xf3e5ab,Medium champagne,,medium champagne
0xba55d3,Medium orchid,,medium orchid
0x9370db,Medium purple,,medium purple
0x3cb371,Medium sea green,,medium sea green
0x7b68ee,Medium slate blue,,medium slate blue
0x00fa9a,Medium spring green,,medium spring green
0x48d1cc,Medium turquoise,,medium turquoise
0xc71585,Medium violet-red,,medium violet-red
0xf8b878,Mellow apricot,,mellow apricot
0xf8de7e,Mellow yellow,,mellow yellow
0xfebaad,Melon,,melon
0xd3af37,Metallic gold,,metallic gold
0x0a7e8c,Metallic Seaweed,,metallic seaweed
0x9c7c38,Metallic Sunburst,,metallic sunburst
0xe4007c,Mexican pink,,mexican pink
0x7ed4e6,Middle blue,,middle blue
0x8dd9cc,Middle blue green,,middle blue green
0x8b72be,Middle blue purple,,middle blue purple
0x8b8680,Middle grey,,middle grey
0x4d8c57,Middle green,,middle green
0xacbf60,Middle green yellow,,middle green yellow
0xd982b5,Middle purple,,middle purple
0xe58e73,Middle red,,middle red
0xa55353,Middle red purple,,middle red purple
0xffeb00,Middle yellow,,middle yellow
0xecb176,Middle yellow red,,middle yellow red
0x702670,Midnight,,midnight
0x191970,Midnight blue,,midnight blue
0x004953,Midnight green (eagle green),,midnight green (eagle green)
0xffc40c,Mikado yellow,,mikado yellow
0xffdae9,Mimi pink,,mimi pink
0xe3f988,Mindaro,,mindaro
0x36747d,Ming,,ming
0xf5e050,Minion yellow,,minion yellow
0x3eb489,Mint,,mint
0xf5fffa,Mint cream,,mint cream
0x98ff98,Mint green,,mint green
0xbbb477,Misty moss,,misty moss
0xffe4e1,Misty rose,,misty rose
0x967117,Mode beige,,mode beige
